445499,4626270,INTERFERENCE WITH PUBLIC OFFICER
445190,4626842,INTERFERENCE WITH PUBLIC OFFICER
440854,4626678,HOMICIDE
446082,4624712,HOMICIDE
437205,4639697,HOMICIDE
449550,4611594,ARSON
439881,4636789,INTERFERENCE WITH PUBLIC OFFICER
449717,4619454,INTERFERENCE WITH PUBLIC OFFICER
443404,4625214,HOMICIDE
444397,4639432,HOMICIDE
455265,4617424,HOMICIDE
442722,4649753,HOMICIDE
448337,4622451,HOMICIDE
448846,4625081,INTERFERENCE WITH PUBLIC OFFICER
440437,4634041,ARSON
449403,4629721,INTERFERENCE WITH PUBLIC OFFICER
445694,4626871,INTERFERENCE WITH PUBLIC OFFICER
448897,4620679,INTERFERENCE WITH PUBLIC OFFICER
441036,4634898,HOMICIDE
447460,4633423,HOMICIDE
441068,4640035,ARSON
446273,4620617,INTERFERENCE WITH PUBLIC OFFICER
449091,4623342,INTERFERENCE WITH PUBLIC OFFICER
441833,4635766,INTERFERENCE WITH PUBLIC OFFICER
444031,4627075,INTERFERENCE WITH PUBLIC OFFICER
447892,4638326,INTERFERENCE WITH PUBLIC OFFICER
440724,4636190,HOMICIDE
448203,4635832,ARSON
453341,4616455,ARSON
445408,4625441,INTERFERENCE WITH PUBLIC OFFICER
435507,4645758,ARSON
441966,4633743,INTERFERENCE WITH PUBLIC OFFICER
439558,4628695,HOMICIDE
437681,4637065,INTERFERENCE WITH PUBLIC OFFICER
447668,4620669,INTERFERENCE WITH PUBLIC OFFICER
449063,4615578,INTERFERENCE WITH PUBLIC OFFICER
447484,4616131,INTERFERENCE WITH PUBLIC OFFICER
440659,4625665,ARSON
448217,4638178,INTERFERENCE WITH PUBLIC OFFICER
447313,4627024,ARSON
448060,4614872,ARSON
440707,4635987,HOMICIDE
446745,4623422,HOMICIDE
445373,4628468,HOMICIDE
445777,4643369,INTERFERENCE WITH PUBLIC OFFICER
444405,4631711,INTERFERENCE WITH PUBLIC OFFICER
439849,4632651,INTERFERENCE WITH PUBLIC OFFICER
439538,4636580,INTERFERENCE WITH PUBLIC OFFICER
447879,4616639,INTERFERENCE WITH PUBLIC OFFICER
436673,4636151,INTERFERENCE WITH PUBLIC OFFICER
438439,4638287,ARSON
438082,4636062,INTERFERENCE WITH PUBLIC OFFICER
454032,4620488,HOMICIDE
450721,4624893,HOMICIDE
446964,4639290,INTERFERENCE WITH PUBLIC OFFICER
441824,4636464,INTERFERENCE WITH PUBLIC OFFICER
439799,4636237,INTERFERENCE WITH PUBLIC OFFICER
440922,4635989,HOMICIDE
440125,4636486,HOMICIDE
444762,4620392,HOMICIDE
443173,4626648,INTERFERENCE WITH PUBLIC OFFICER
448165,4616642,INTERFERENCE WITH PUBLIC OFFICER
445786,4627683,ARSON
444157,4628888,HOMICIDE
444157,4628888,HOMICIDE
444802,4625446,HOMICIDE
440484,4624146,ARSON
453934,4622108,ARSON
437705,4641967,HOMICIDE
453879,4622378,HOMICIDE
449422,4617874,INTERFERENCE WITH PUBLIC OFFICER
449717,4619452,HOMICIDE
451377,4624522,HOMICIDE
437804,4642847,ARSON
451679,4624729,INTERFERENCE WITH PUBLIC OFFICER
437883,4643187,ARSON
437830,4643353,ARSON
445786,4627683,ARSON
438025,4637068,INTERFERENCE WITH PUBLIC OFFICER
444774,4627880,INTERFERENCE WITH PUBLIC OFFICER
446565,4624314,INTERFERENCE WITH PUBLIC OFFICER
446064,4625923,INTERFERENCE WITH PUBLIC OFFICER
448022,4617755,ARSON
449682,4622468,HOMICIDE
